date,tagesschau,tagesthemen
2007-09-30,https://www.tagesschau.de/multimedia/sendung/ts364.html,https://www.tagesschau.de/multimedia/sendung/tt70.html
2007-10-01,https://www.tagesschau.de/multimedia/sendung/ts396.html,https://www.tagesschau.de/multimedia/sendung/tt72.html
2007-10-02,https://www.tagesschau.de/multimedia/sendung/ts426.html,https://www.tagesschau.de/multimedia/sendung/tt74.html
2007-10-03,https://www.tagesschau.de/multimedia/sendung/ts442.html,https://www.tagesschau.de/multimedia/sendung/tt78.html
2007-10-04,https://www.tagesschau.de/multimedia/sendung/ts468.html,https://www.tagesschau.de/multimedia/sendung/tt80.html
2007-10-05,https://www.tagesschau.de/multimedia/sendung/ts494.html,https://www.tagesschau.de/multimedia/sendung/tt82.html
2007-10-06,https://www.tagesschau.de/multimedia/sendung/ts512.html,https://www.tagesschau.de/multimedia/sendung/tt84.html
2007-10-07,https://www.tagesschau.de/multimedia/sendung/ts526.html,https://www.tagesschau.de/multimedia/sendung/tt86.html
2007-10-08,https://www.tagesschau.de/multimedia/sendung/ts544.html,https://www.tagesschau.de/multimedia/sendung/tt88.html
2007-10-09,https://www.tagesschau.de/multimedia/sendung/ts558.html,https://www.tagesschau.de/multimedia/sendung/tt90.html
2007-10-10,https://www.tagesschau.de/multimedia/sendung/ts572.html,https://www.tagesschau.de/multimedia/sendung/tt92.html
2007-10-11,https://www.tagesschau.de/multimedia/sendung/ts586.html,https://www.tagesschau.de/multimedia/sendung/tt94.html
2007-10-12,https://www.tagesschau.de/multimedia/sendung/ts600.html,https://www.tagesschau.de/multimedia/sendung/tt96.html
2007-10-13,https://www.tagesschau.de/multimedia/sendung/ts618.html,https://www.tagesschau.de/multimedia/sendung/tt98.html
2007-10-14,https://www.tagesschau.de/multimedia/sendung/ts634.html,https://www.tagesschau.de/multimedia/sendung/tt100.html
2007-10-15,https://www.tagesschau.de/multimedia/sendung/ts660.html,https://www.tagesschau.de/multimedia/sendung/tt102.html
2007-10-16,https://www.tagesschau.de/multimedia/sendung/ts686.html,https://www.tagesschau.de/multimedia/sendung/tt104.html
2007-10-17,https://www.tagesschau.de/multimedia/sendung/ts712.html,https://www.tagesschau.de/multimedia/sendung/tt106.html
2007-10-18,https://www.tagesschau.de/multimedia/sendung/ts738.html,https://www.tagesschau.de/multimedia/sendung/tt108.html
2007-10-19,https://www.tagesschau.de/multimedia/sendung/ts762.html,https://www.tagesschau.de/multimedia/sendung/tt110.html
2007-10-20,https://www.tagesschau.de/multimedia/sendung/ts778.html,https://www.tagesschau.de/multimedia/sendung/tt112.html
2007-10-21,https://www.tagesschau.de/multimedia/sendung/ts792.html,https://www.tagesschau.de/multimedia/sendung/tt114.html
2007-10-22,https://www.tagesschau.de/multimedia/sendung/ts808.html,https://www.tagesschau.de/multimedia/sendung/tt116.html
2007-10-23,https://www.tagesschau.de/multimedia/sendung/ts822.html,https://www.tagesschau.de/multimedia/sendung/tt118.html
2007-10-24,https://www.tagesschau.de/multimedia/sendung/ts836.html,https://www.tagesschau.de/multimedia/sendung/tt142.html
2007-10-25,https://www.tagesschau.de/multimedia/sendung/ts850.html,https://www.tagesschau.de/multimedia/sendung/tt144.html
2007-10-26,https://www.tagesschau.de/multimedia/sendung/ts864.html,https://www.tagesschau.de/multimedia/sendung/tt146.html
2007-10-27,https://www.tagesschau.de/multimedia/sendung/ts882.html,https://www.tagesschau.de/multimedia/sendung/tt148.html
2007-10-28,https://www.tagesschau.de/multimedia/sendung/ts898.html,https://www.tagesschau.de/multimedia/sendung/tt150.html
2007-10-29,https://www.tagesschau.de/multimedia/sendung/ts926.html,https://www.tagesschau.de/multimedia/sendung/tt152.html
2007-10-30,https://www.tagesschau.de/multimedia/sendung/ts952.html,https://www.tagesschau.de/multimedia/sendung/tt154.html
2007-10-31,https://www.tagesschau.de/multimedia/sendung/ts984.html,https://www.tagesschau.de/multimedia/sendung/tt156.html
2007-11-01,https://www.tagesschau.de/multimedia/sendung/ts1010.html,https://www.tagesschau.de/multimedia/sendung/tt158.html
2007-11-02,https://www.tagesschau.de/multimedia/sendung/ts1036.html,https://www.tagesschau.de/multimedia/sendung/tt160.html
2007-11-03,https://www.tagesschau.de/multimedia/sendung/ts1052.html,https://www.tagesschau.de/multimedia/sendung/tt162.html
2007-11-04,https://www.tagesschau.de/multimedia/sendung/ts1066.html,https://www.tagesschau.de/multimedia/sendung/tt164.html
2007-11-05,https://www.tagesschau.de/multimedia/sendung/ts1082.html,https://www.tagesschau.de/multimedia/sendung/tt166.html
2007-11-06,https://www.tagesschau.de/multimedia/sendung/ts1096.html,https://www.tagesschau.de/multimedia/sendung/tt168.html
